Top,Russian,Audio,English,Spanish,Example Russian 1,Example Russian 2,Example Russian 3,Audio 1,Audio 2,Audio 3,Example English 1,Example English 2,Example English 3,Example Spanish 1,Example Spanish 2,Example Spanish 3,Tag
337,ра́зный,,different,diferente,У них были разные мнения.,Эти книги относятся к разному жанру.,Перед вами раскрываются разные перспективы.,,,,They had different opinions.,These books belong to a different genre.,Different perspectives unfold before you.,Tenían opiniones diferentes.,Estos libros pertenecen a un género diferente.,Diferentes perspectivas se despliegan ante ti.,adjective
338,выходи́ть,,to exit/to go,salir,Она выходит из дома каждое утро.,Мы выходим на улицу после обеда.,Вчера я вышел из театра.,,,,She exits the house every morning.,We go out on the street after lunch.,"Yesterday, I exited the theater.",Ella sale de la casa todas las mañanas.,Salimos a la calle después del almuerzo.,Ayer salí del teatro.,verb
339,проси́ть,,to ask,pedir,Он всегда просит совета у своего отца.,Вы просите о помощи?,Она просила прощения.,,,,He always asks his father for advice.,Do you ask for help?,She asked for forgiveness.,Él siempre pide consejos a su padre.,¿Piden ayuda ustedes?,Ella pidió perdón.,verb
340,брат,,brother,hermano,Мой брат играет на гитаре.,Я видел своего брата.,У брата день рождения.,,,,My brother plays the guitar.,I saw my brother.,It's my brother's birthday.,Mi hermano toca la guitarra.,Vi a mi hermano.,Es el cumpleaños de mi hermano.,noun
341,со́бственный,,own,propio,У него есть своя́ со́бственная квартира.,Это моя́ со́бственная идея.,Они решили развить свои́ со́бственные навыки.,,,,He has his own apartment.,This is my own idea.,They decided to develop their own skills.,Él tiene su propio apartamento.,Esta es mi propia idea.,Decidieron desarrollar sus propias habilidades.,adjective
342,отноше́ние,,relationship,relación,Между ними существует доверительное отношение.,Это отношение развивается медленно.,У них были сложные отношения.,,,,There is a trusting relationship between them.,This relationship is developing slowly.,They had complicated relationships.,Existe una relación de confianza entre ellos.,Esta relación se está desarrollando lentamente.,Tuvieron relaciones complicadas.,noun
343,зате́м,,then,entonces,"Я поиграю собакой, а зате́м поеду в магазин.","Он завершит работу, а затем возьмет перерыв.","Поиграем в волейбол, а зате́м поужинаем.",,,,"I'll play with the dog, then I'll go to the store.","He'll finish the job, then he'll take a break.","Let's play volleyball, then we'll have dinner.","Jugaré con el perro, entonces iré a la tienda.","Él terminará el trabajo, luego tomará un descanso.","Jugaremos voleibol, luego cenaremos.",adverb
344,пыта́ться,,to try,intentar,Я всегда пытаюсь понять других.,Они пытаются найти выход из ситуации.,Он пытался примирить стороны.,,,,I always try to understand others.,They are trying to find a way out of the situation.,He tried to reconcile the sides.,Siempre intento entender a los demás.,Ellos están intentando encontrar una solución a la situación.,Él intentó reconciliar a las partes.,verb
345,показа́ть,,to show,mostrar,Я покажу тебе мои фотографии.,Мы покажем им наш новый проект.,Он показал свое мастерство.,,,,I will show you my photos.,We will show them our new project.,He showed his skill.,Te mostraré mis fotos.,Les mostraremos nuestro nuevo proyecto.,Él mostró su habilidad.,verb
346,вспо́мнить,,to recall,recordar,Ты вспо́мнишь это важное событие.,Мы не можем вспо́мнить его имя.,Он вспо́мнил детские воспоминания.,,,,You will recall this important event.,We can't recall his name.,He recalled childhood memories.,Recordarás este importante evento.,No podemos recordar su nombre.,Él recordó recuerdos de la infancia.,verb
347,систе́ма,,system,sistema,Система защиты работает отлично.,Эта система очень сложная.,Этой системе нужно обновление.,,,,The security system works perfectly.,This system is very complex.,This system needs an update.,El sistema de seguridad funciona perfectamente.,Este sistema es muy complejo.,Este sistema necesita una actualización.,noun
348,четы́ре,,four,cuatro,У меня есть четы́ре книги.,Я вижу четы́ре яблока на столе.,На часах четы́ре часа.,,,,I have four books.,I see four apples on the table.,It's four o'clock.,Tengo cuatro libros.,Veo cuatro manzanas en la mesa.,Son las cuatro en punto.,numeral
349,кварти́ра,,apartment,apartamento,У меня уютная квартира в центре города.,Я арендовал квартиру на побережье.,В квартире было очень тепло.,,,,I have a cozy apartment in the city center.,I rented an apartment on the coast.,It was very warm in the apartment.,Tengo un apartamento acogedor en el centro de la ciudad.,Alquilé un apartamento en la costa.,Hacía mucho calor en el apartamento.,noun
350,держа́ть,,to hold,sostener,Он держит книгу на полке.,"Пожалуйста, держите меня!",Она держала букет цветов.,,,,He holds the book on the shelf.,"Please, hold me!",She held a bouquet of flowers.,Él sostiene el libro en la estantería.,"¡Por favor, sujétame!",Ella sostenía un ramo de flores.,verb
351,та́кже,,also,también,"Я купил книгу, а та́кже ручку.","Мы пойдем в кино, а та́кже поужинаем.","Он говорит по-английски, а та́кже по-французски.",,,,"I bought a book, and also a pen.","We will go to the cinema, and also have dinner.","He speaks English, and also French.","Compré un libro, y también un bolígrafo.","Iremos al cine, y también cenaremos.","Él habla inglés, y también francés.",other
